ID,Método,Nome do Método (from Método),Passos,Nome do Passo,Descrição,Resultado
1,M001,Photovoice,Passo 1,Enquadramento da Pesquisa,"Todo processo de Photovoice começa pela definição da pergunta que irá orientar a produção das imagens. Essa etapa corresponde à fase de preparação estratégica do projeto. A pergunta deve estar alinhada ao objetivo institucional e precisa delimitar claramente o fenômeno que se deseja compreender. Caso o problema ainda não esteja totalmente definido, este momento deve ser utilizado para mapear lacunas de conhecimento, hipóteses iniciais e aspectos que precisam ser explorados.

A pergunta deve ser específica o suficiente para orientar o olhar das pessoas participantes e aberta o suficiente para permitir múltiplas perspectivas. É recomendável testá-la perguntando: “Uma imagem consegue responder a isso?”. Se não, a pergunta ainda está genérica demais.

Bom exemplo:
“Que situações mostram barreiras no acesso ao serviço?”
(É concreta, observável e pode ser representada visualmente.)

Mau exemplo:
“O que você acha do programa?”
(Genérica demais. Não orienta o olhar nem a produção de imagens.)

Do ponto de vista de gestão de projetos, aqui se define escopo, objetivos, critérios de sucesso e entregáveis esperados.","Pergunta de pesquisa validada, escopo definido, objetivos claros e critérios de sucesso estabelecidos."
2,M001,Photovoice,Passo 2,Definição do Público-Alvo,"Com a pergunta definida, é preciso decidir quem são as pessoas que irão produzir as imagens. Elas devem ter relação direta com o tema investigado e representar diferentes experiências, garantindo diversidade de perspectivas.

Além da relevância temática, é fundamental avaliar aspectos práticos: disponibilidade de tempo, condições logísticas, interesse genuíno e disposição para participar de encontros coletivos.

Bom exemplo:
Selecionar usuários de diferentes regiões, idades e níveis de acesso ao serviço.

Mau exemplo:
Selecionar apenas pessoas com relação institucional próxima ou com visão já conhecida.

Essa etapa equivale à análise de stakeholders em gestão de projetos.","Perfil de participantes definido, critérios de seleção estabelecidos e lista preliminar de pessoas elegíveis."
3,M001,Photovoice,Passo 3,Recrutamento e Seleção,"A seleção pode ser feita por meio de conversas curtas por telefone ou WhatsApp. O objetivo não é avaliar capacidade técnica, mas confirmar disponibilidade, interesse e entendimento do compromisso envolvido.

É importante comunicar claramente a duração do processo, o número de encontros e a finalidade das imagens. Transparência reduz riscos de evasão. Recomenda-se que o grupo seja remunerado pela produção das imagens.

Bom exemplo:
Realizar conversa prévia explicando cronograma, encontro coletivo e exibição final.

Mau exemplo:
Convidar informalmente sem explicar o compromisso envolvido.

Essa etapa formaliza a composição do grupo.",Grupo final de participantes confirmado e comprometido com o cronograma.
4,M001,Photovoice,Passo 4,Lançamento do Projeto e Formalização,"O encontro inicial tem a função de alinhar expectativas, apresentar a pergunta de pesquisa, explicar o fluxo completo da metodologia e esclarecer o que será feito com os resultados.

Deve-se apresentar o processo como uma construção coletiva, na qual imagens individuais formarão uma mensagem do grupo. Neste momento também são coletadas assinaturas de termos de consentimento para uso de imagem, autorização de participação e regras de confidencialidade.

Bom exemplo:
Apresentar os blocos do processo (formação, campo, seleção, exibição) e discutir expectativas.

Mau exemplo:
Começar pedindo fotos sem explicar finalidade e etapas.

Em termos de projeto, trata-se da formalização e início oficial da execução.","Participantes alinhados quanto a objetivos e responsabilidades, termos assinados e cronograma validado."
5,M001,Photovoice,Passo 5,Capacitação Técnica e Letramento Visual,"Antes da ida a campo, é necessário treinar as pessoas participantes no uso básico da câmera e nos fundamentos da linguagem visual. O guia enfatiza a importância de trabalhar percepção, composição, simbolismo e diferença entre registro literal e cena construída.

Recomenda-se o uso de câmeras fotográficas sempre que possível, pois isso reforça o caráter intencional da atividade e melhora a qualidade técnica.

Bom exemplo:
Exercício prático de composição + uso de câmera fotográfica.

Mau exemplo:
Enviar participantes a campo sem qualquer orientação técnica.

Mais importante do que técnica avançada é reforçar que cada imagem precisa responder à pergunta de pesquisa.

Nota de atenção:
O melhor resultado é obtido quando se utiliza câmera fotográfica, e não telefone celular. A câmera é posicionada junto ao rosto, alinhada ao olhar. Isso favorece intencionalidade, foco e imersão. O telefone tende a gerar registros rápidos e menos refletidos.",Participantes aptos a utilizar a câmera e conscientes de como transformar ideias em imagens significativas.
6,M001,Photovoice,Passo 6,Produção e Acompanhamento das Imagens,"Inicia-se a fase de campo. As pessoas participantes produzem as fotografias de acordo com a pergunta orientadora. É importante estabelecer prazos claros, logística de retirada e devolução de equipamentos e, se possível, um ponto intermediário de checagem para ajustes.

Bom exemplo:
Definir 5 dias de campo + checagem no terceiro dia para ajustes.

Mau exemplo:
Coletar fotos apenas no final, sem acompanhamento.

O acompanhamento evita desalinhamentos e reduz risco de retrabalho. Essa etapa corresponde ao monitoramento e controle do projeto.","Conjunto estruturado de imagens produzidas, dentro do prazo e alinhadas à pergunta investigativa."
7,M001,Photovoice,Passo 7,Debate Coletivo,"As pessoas participantes se reúnem para apresentar suas fotografias. Cada uma explica o que a imagem mostra, por que foi escolhida e como responde à pergunta.

A facilitação deve aprofundar significados, identificar convergências e divergências e estimular reflexão crítica coletiva.

É essencial registrar falas-chave e padrões emergentes.

Bom exemplo:
Perguntar: “Como essa imagem responde à pergunta?” e estimular que outros comentem.

Mau exemplo:
Facilitador interpreta as imagens sem ouvir a pessoa autora.","Narrativas compartilhadas, temas recorrentes identificados e primeiras categorias analíticas consolidadas."
8,M001,Photovoice,Passo 8,Coleta Aprofundada (opcional),"Caso surjam temas sensíveis ou questões que precisem de aprofundamento, podem ser realizadas entrevistas individuais. Elas permitem explorar nuances que não apareceram no debate coletivo. Essa etapa é opcional, mas fortalece a densidade analítica.

Bom exemplo:
Realizar conversa individual quando a pessoa sinaliza desconforto em aprofundar no coletivo.

Mau exemplo:
Ignorar temas relevantes que surgiram de forma superficial.",Informações complementares coletadas e maior profundidade interpretativa alcançada.
9,M001,Photovoice,Passo 9 ,Curadoria das Imagens,"A curadoria organiza o material final. Deve-se garantir diversidade de perspectivas e fidelidade ao significado atribuído pelas pessoas autoras.

A seleção final precisa manter coerência com a pergunta inicial e representar a mensagem coletiva construída.

Bom exemplo:
Realizar conversa individual quando a pessoa sinaliza desconforto em aprofundar no coletivo.

Mau exemplo:
Ignorar temas relevantes que surgiram de forma superficial.

Aqui se consolida o principal entregável visual do projeto.","Seleção final de imagens validada, com legendas e categorias definidas."
10,M001,Photovoice,Passo 10,Exibição,"A exibição amplia o impacto do projeto. Pode ser virtual ou presencial. Essa etapa permite dar visibilidade às mensagens produzidas e promover diálogo com tomadores de decisão .

Bom exemplo:
Exposição acompanhada de legendas explicativas e mediação.

Mau exemplo:
Publicar fotos isoladas sem contexto ou narrativa.

É necessário planejar público, formato e comunicação.",Mostra organizada e público estratégico alcançado.
